dx_id	icd10_code	parent_icd	name_en	name_cn	synonyms_en	synonyms_cn	domain	clinical_summary_en	clinical_summary_cn	confirmation_findings	exclusion_findings	differentials	references
DX-K04.00	K04.00	K04.0	Pulpitis, initial (reversible pulpitis / hyperaemia)	可复性牙髓炎 (牙髓充血)	reversible pulpitis|hyperaemia|initial pulpitis	可复性牙髓炎|牙髓充血|初期牙髓炎	pulpal	Inflammation of the pulp that resolves once the noxious stimulus is removed. Brief provoked pain (cold/sweet), no spontaneous or nocturnal pain, no periapical changes.	去除刺激源后可恢复的牙髓炎症。冷/甜激发短暂痛，无自发痛或夜间痛，根尖正常。	pain_trigger in [cold_only, cold_and_sweet]|pain_duration_after_stimulus=within_30s|spontaneous_nocturnal_pain=never|periapical_xray=normal|pulp_vitality=normal OR pulp_vitality=exaggerated	pain_duration_after_stimulus=lingers_over_30s|spontaneous_nocturnal_pain=frequent|periapical_xray=periapical_radiolucency|pulp_vitality=no_response	DX-K04.01|DX-K04.1|DX-K04.4	REF-003|REF-004|REF-008|REF-010
DX-K04.01	K04.01	K04.0	Pulpitis, acute (irreversible)	急性牙髓炎 (不可复性)	irreversible pulpitis|acute irreversible pulpitis|acute pulpitis	不可复性牙髓炎|急性不可复性牙髓炎|急性牙髓炎	pulpal	Inflammation of the pulp that will not resolve. Spontaneous pain, nocturnal worsening, lingering response to cold (>30s), often referred pain. Pulp will progress to necrosis if untreated.	无法恢复的牙髓炎症。自发痛、夜间加重、冷刺激后疼痛>30秒，常有牵涉痛。未治疗将进展为牙髓坏死。	spontaneous_pain=yes|nocturnal_pain=yes|pain_duration_after_stimulus=lingers_over_30s|pulp_vitality=exaggerated	pulp_vitality=no_response|periapical_xray=established_radiolucency	DX-K04.00|DX-K04.02|DX-K04.03|DX-K04.1|DX-K04.4	REF-003|REF-004|REF-008|REF-010
DX-K04.02	K04.02	K04.0	Pulpitis, suppurative (pulp abscess)	化脓性牙髓炎 (牙髓脓肿)	pulp abscess|suppurative pulpitis	牙髓脓肿|化脓性牙髓炎	pulpal	Late-stage irreversible pulpitis with frank pus in the pulp chamber. Severe spontaneous pain, often relieved transiently by cold (a distinguishing feature). Marked tenderness to percussion.	晚期不可复性牙髓炎伴髓腔脓液。剧烈自发痛，冷刺激可短暂缓解（特征性表现）。叩痛明显。	spontaneous_pain=yes|cold_relieves_pain=yes|percussion_tender=yes	pulp_vitality=no_response	DX-K04.01|DX-K04.1|DX-K04.4	REF-003|REF-008
DX-K04.03	K04.03	K04.0	Pulpitis, chronic (hyperplastic / pulp polyp)	慢性牙髓炎 (增生性/牙髓息肉)	chronic pulpitis|hyperplastic pulpitis|pulp polyp	慢性牙髓炎|增生性牙髓炎|牙髓息肉	pulpal	Long-standing pulpal inflammation, often asymptomatic or with dull intermittent pain. May present as a pulp polyp through a large carious exposure in young patients.	长期牙髓炎症，常无症状或仅有钝痛。年轻患者可经大面积龋暴露形成牙髓息肉。	pain_type in [none, dull_intermittent]|spontaneous_pain=no OR spontaneous_pain=previously_resolved|large_carious_exposure=yes	periapical_xray=established_radiolucency	DX-K04.01|DX-K04.1	REF-008
DX-K04.1	K04.1	K04	Pulp necrosis	牙髓坏死	necrotic pulp|non-vital pulp|dead pulp	牙髓坏死|无活力牙髓|死髓	pulpal	Death of pulp tissue. No response to vitality testing. May be asymptomatic until periapical involvement develops. Tooth discolouration possible.	牙髓组织死亡。活力测试无反应。可无症状直至累及根尖。可有牙体变色。	pulp_vitality=no_response|spontaneous_pain=no OR spontaneous_pain=previously_resolved	pulp_vitality=normal|pulp_vitality=exaggerated	DX-K04.01|DX-K04.4|DX-K04.5	REF-003|REF-008
DX-K04.4	K04.4	K04	Acute apical periodontitis of pulpal origin	急性根尖周炎 (牙髓源性)	acute apical periodontitis|acute periapical periodontitis	急性根尖周炎|急性根尖周膜炎	periapical	Acute inflammation of the periodontal ligament at the apex due to pulpal disease (extending pulpitis or necrosis). Severe pain on percussion and biting, tooth feels 'high', often with normal X-ray initially.	根尖牙周膜的急性炎症，由牙髓疾病引起（牙髓炎扩展或坏死）。叩痛和咬合痛剧烈，患牙浮起感，X线初期可正常。	percussion_tender=severe|biting_pain=yes|tooth_feels_high=yes	periapical_xray=established_radiolucency	DX-K04.01|DX-K04.1|DX-K04.5|DX-K04.7	REF-003|REF-005|REF-008
DX-K04.5	K04.5	K04	Chronic apical periodontitis (apical granuloma)	慢性根尖周炎 (根尖肉芽肿)	chronic apical periodontitis|apical granuloma|periapical granuloma	慢性根尖周炎|根尖肉芽肿|根尖周肉芽肿	periapical	Long-standing low-grade inflammation at the root apex, usually asymptomatic. Periapical radiolucency on X-ray. Tooth typically non-vital. May flare up to acute apical abscess.	根尖部位长期低度炎症，通常无症状。X线可见根尖透射影。患牙通常无活力。可急性发作为根尖脓肿。	periapical_xray=established_radiolucency|pulp_vitality=no_response|pain_type in [none, dull_intermittent]	percussion_tender=severe AND spontaneous_pain=yes	DX-K04.1|DX-K04.4|DX-K04.7	REF-003|REF-005|REF-008
DX-K04.6	K04.6	K04	Periapical abscess with sinus	根尖周脓肿伴窦道	chronic apical abscess|draining periapical abscess|fistulating apical abscess	慢性根尖脓肿|瘘管性根尖脓肿|根尖周脓肿伴瘘管	periapical	Chronic periapical abscess that has drained through a sinus tract (often visible as a gum boil / parulis). Usually asymptomatic because of ongoing drainage.	慢性根尖脓肿经窦道引流（牙龈瘘管/牙龈疖）。因持续引流，通常无症状。	sinus_tract=yes|pulp_vitality=no_response	pulp_vitality=normal|pulp_vitality=exaggerated	DX-K04.5|DX-K04.7	REF-003|REF-008
DX-K04.7	K04.7	K04	Periapical abscess without sinus (acute apical abscess)	根尖周脓肿无窦道 (急性根尖脓肿)	acute apical abscess|acute periapical abscess|dentoalveolar abscess	急性根尖脓肿|急性根尖周脓肿|牙槽脓肿	periapical	Acute purulent infection at the root apex without drainage. Severe pain, swelling, often systemic signs (fever, malaise, lymphadenopathy). Surgical emergency.	根尖部位无引流的急性化脓性感染。剧烈疼痛、肿胀，常伴全身症状（发热、不适、淋巴结肿大）。外科急症。	swelling=yes|spontaneous_pain=yes|percussion_tender=severe|sinus_tract=no	sinus_tract=yes	DX-K04.4|DX-K04.6|DX-K12.2	REF-003|REF-008
DX-K02.0	K02.0	K02	Caries limited to enamel (incipient / white-spot lesion)	釉质龋 (早期龋 / 白斑病变)	incipient caries|white-spot lesion|enamel caries|initial caries	早期龋|釉质龋|白斑病变|初期龋	caries	Demineralisation confined to enamel. Visible as white-spot, no cavitation, asymptomatic. Reversible with remineralisation therapy if active disease is controlled.	局限于釉质的脱矿。可见白斑，无龋洞，无症状。控制活动性龋病后通过再矿化治疗可逆。	cavitation=no|lesion_depth=enamel_only|pain_type=none	cavitation=yes|lesion_depth in [mid_dentine, deep_dentine]|pulp_vitality=no_response	DX-K02.1|DX-K02.3	REF-026|REF-027
