ref_id	citation	url	access	verified_date	notes
REF-003	American Association of Endodontists (AAE). Glossary of Endodontic Terms, 10th ed. 2020.	https://www.aae.org/specialty/clinical-resources/glossary-endodontic-terms/	free_landing_page_pdf_member_login	2026-05-27	Landing page lists current 10th edition (updated March 2020). PDF requires AAE login.
REF-004	AAE. Endodontic Diagnosis. Position Statement, 2013. (Colleagues for Excellence, Fall 2013).	https://www.aae.org/specialty/wp-content/uploads/sites/2/2023/12/Fall2013-EndoDiagnosis.pdf	free_pdf	2026-05-27	AAE's Colleagues for Excellence Fall 2013 issue on endodontic diagnosis. Source of the 30-second lingering pain rule, vitality response criteria, and pulpal/periapical dx framework.
REF-005	European Society of Endodontology. Quality guidelines for endodontic treatment: consensus report of the European Society of Endodontology. Int Endod J 2006;39:921-30.	https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-2591.2006.01180.x	paywalled_pubmed_abstract_free	2026-05-27	Note: ESE released an S3-level update in 2023 (separate document). This 2006 guideline is still the foundational quality standard.
REF-006	Bjørndal L, Simon S, Tomson PL, Duncan HF. Management of deep caries and the exposed pulp. Int Endod J 2019;52(7):949-973.	https://onlinelibrary.wiley.com/doi/full/10.1111/iej.13128	open_access_via_publisher	2026-05-27	Previous title I had ('Treatment of deep caries lesions in adults') was a different Bjørndal 2010 paper. Updated to the 2019 review.
REF-007	Schwendicke F et al. Managing carious lesions: Consensus recommendations on carious tissue removal. Adv Dent Res 2016;28(2):58-67.	https://journals.sagepub.com/doi/abs/10.1177/0022034516639271	paywalled_pubmed_abstract_free	2026-05-27	International Caries Consensus Collaboration (ICCC).
REF-008	Hargreaves KM, Berman LH (eds). Cohen's Pathways of the Pulp, 12th ed. Elsevier, 2021.	https://shop.elsevier.com/books/cohens-pathways-of-the-pulp/berman/978-0-323-67303-7	paid_purchase_or_library	2026-05-27	Definitive endodontics textbook. Diagnostic criteria for irreversible pulpitis in 'Diagnosis' chapter. Library/institutional access via ScienceDirect.
REF-010	AAE. Treatment Standards. White Paper, 2018.	https://www.aae.org/specialty/wp-content/uploads/sites/2/2018/04/TreatmentStandards_WhitePaper_v1.pdf	free_pdf	2026-05-27	AAE Treatment Standards covering difficulty assessment, access, instrumentation, disinfection, obturation, retreatment, and restoration.
REF-014	Ruggiero SL, Dodson TB, Aghaloo T, Carlson ER, Ward BB, Kademani D. AAOMS Position Paper on Medication-Related Osteonecrosis of the Jaws — 2022 Update. J Oral Maxillofac Surg 2022 May;80(5):920-943.	https://www.joms.org/article/S0278-2391(22)00148-3/fulltext	paywalled	2026-05-27	Supersedes 2007/2009/2014 AAOMS position papers.
REF-015	Wahl MJ, Pinto A, Kilham J, Lalla RV. Dental surgery in anticoagulated patients—stop the interruption. Oral Surg Oral Med Oral Pathol Oral Radiol 2015;119(2):136-157.	https://www.sciencedirect.com/science/article/abs/pii/S2212440314013406	paywalled_pubmed_abstract_free	2026-05-27	CITATION CORRECTED — previous v2 had wrong journal ('Endod Topics 2014') and year. Correct is OOOO 2015. >99% of anticoagulated patients had no post-op bleeding requiring more than local hemostatic measures.
REF-016	Lyons A, Ghazali N. Osteoradionecrosis of the jaws: current understanding of its pathophysiology and treatment. Br J Oral Maxillofac Surg 2008;46(8):653-60.	https://pubmed.ncbi.nlm.nih.gov/18562055/	paywalled_pubmed_abstract_free	2026-05-27	
REF-021	Schwendicke F et al. Deep Caries Management: EFCD-ESE-ORCA S3-Level Clinical Practice Guideline. Int Endod J / Clin Oral Investig / Caries Res 2025.	https://onlinelibrary.wiley.com/doi/10.1111/iej.70132	open_access	2026-05-27	Title slightly different from earlier citation. Published simultaneously in Int Endod J, Clin Oral Investig, and Caries Res. Supports selective/stepwise caries removal; hydraulic calcium silicate cement preferred over Ca(OH)2.
REF-009	ADA Council on Scientific Affairs. Professionally applied topical fluoride: evidence-based clinical recommendations. JADA 2006;137(8):1151-9.	https://www.sciencedirect.com/science/article/abs/pii/S0002817714649618	paywalled_pubmed_abstract_free	2026-05-27	Updated by ADA in 2013 (separate publication, same topic).
REF-019	Bayne SC et al. Status of restorative materials in dentistry. JADA 2019;150(11):909-921.		not_confirmed_by_web_search	2026-05-27	Web search could not confirm this exact JADA 2019 citation. The citation may be inaccurate or the article may exist under a different title/issue. Please re-verify before relying on this reference.
REF-025	Innes NP, Evans DJP, Bonifacio CC et al. The Hall Technique 10 years on: Questions and answers. Br Dent J 2017;222(6):478-483.	https://www.nature.com/articles/sj.bdj.2017.273	paywalled_pubmed_abstract_free	2026-05-27	Companion paper 'The Hall Technique 10 years on: its effect and influence' (PMID 28336985) also published in same issue.
REF-026	Featherstone JDB. The continuum of dental caries — evidence for a dynamic disease process. J Dent Res 2004;83(Spec No C):C39-C42.	https://journals.sagepub.com/doi/10.1177/154405910408301s08	paywalled_pubmed_abstract_free	2026-05-27	Defines the de- / re-mineralisation balance framework that underpins ADA non-restorative caries guidance.
REF-027	Slayton RL, Urquhart O, Araujo MWB et al. Evidence-based clinical practice guideline on nonrestorative treatments for carious lesions: A report from the American Dental Association. JADA 2018;149(10):837-849.	https://jada.ada.org/article/S0002-8177(18)30469-0/fulltext	paywalled_pubmed_abstract_free	2026-05-27	Contains ADA's first-ever recommendation for silver diamine fluoride (SDF).
REF-011	Tonetti MS, Greenwell H, Kornman KS. Staging and grading of periodontitis: Framework and proposal of a new classification and case definition. J Periodontol 2018;89(Suppl 1):S159-S172.	https://aap.onlinelibrary.wiley.com/doi/abs/10.1002/JPER.18-0006	paywalled_pubmed_abstract_free	2026-05-27	Same paper published simultaneously in J Periodontol (S159-S172) and J Clin Periodontol (S149-S161).
REF-012	Chapple ILC et al. Plaque-induced gingival conditions / Dental plaque-induced gingival conditions. J Periodontol 2018;89(Suppl 1):S74-S84.	https://aap.onlinelibrary.wiley.com/doi/full/10.1002/JPER.17-0576	paywalled_pubmed_abstract_free	2026-05-27	Note: companion paper to REF-011, same workshop.
REF-013	孟焕新主编. 牙周病学. 第4版. 人民卫生出版社, 2012-12.		paid_chinese_textbook	2026-05-27	Ministry of Health 12th Five-Year Plan textbook. 5th and 6th editions also exist; this pilot cites the 4th.
REF-022	Sanz M, Herrera D, Kebschull M et al. Treatment of stage I–III periodontitis—The EFP S3 level clinical practice guideline. J Clin Periodontol 2020;47(Suppl 22):4-60.	https://onlinelibrary.wiley.com/doi/10.1111/jcpe.13290	open_access_pmc	2026-05-27	Stage IV periodontitis guideline is a separate 2022 publication.
REF-023	Lockhart PB, Tampi MP, Abt E et al. Evidence-based clinical practice guideline on antibiotic use for the urgent management of pulpal- and periapical-related dental pain and intraoral swelling: A report from the American Dental Association. JADA 2019;150(11):906-921.e12.	https://jada.ada.org/article/S0002-8177(19)30617-8/fulltext	paywalled_pubmed_abstract_free	2026-05-27	Key recommendation: do NOT use antibiotics for most pulpal/periapical conditions in immunocompetent adults; dental treatment + OTC analgesics first-line.
REF-028	Cairo F, Nieri M, Cincinelli S, Mervelt J, Pagliaro U. The interproximal clinical attachment level to classify gingival recessions and predict root coverage outcomes: an explorative and reliability study. J Clin Periodontol 2011;38(7):661-666.	https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1600-051x.2011.01732.x	paywalled	2026-05-27	RT1/RT2/RT3 classification based on interproximal clinical attachment loss.
REF-029	Lang NP, Lindhe J (eds). Clinical Periodontology and Implant Dentistry, 6th ed., 2-volume set. Wiley-Blackwell, 2015.	https://www.wiley.com/en-us/Clinical+Periodontology+and+Implant+Dentistry,+2+Volume+Set,+6th+Edition-p-9781118940471	paid_purchase_or_library	2026-05-27	Definitive periodontology textbook. 40% new content in 6th edition.
REF-030	Warnakulasuriya S, Kujan O, Aguirre-Urizar JM et al. Oral potentially malignant disorders: A consensus report from an international seminar on nomenclature and classification, convened by the WHO Collaborating Centre for Oral Cancer. Oral Diseases 2021;27(8):1862-1880.	https://onlinelibrary.wiley.com/doi/10.1111/odi.13704	paywalled	2026-05-27	OPMD nomenclature standard. Erythroplakia listed as highest-risk category.
REF-031	National Institute for Health and Care Excellence (NICE). Suspected cancer: recognition and referral. NICE guideline NG12, 2015 (updated 2021).	https://www.nice.org.uk/guidance/ng12	free_government_publication	2026-05-27	IMPORTANT CLINICAL DISCREPANCY: NICE NG12 specifies UNEXPLAINED ULCERATION >3 WEEKS as the threshold for 2-week-wait referral, NOT 2 weeks. v2's RF-V2-008 currently uses 2 weeks (lesion_duration_days >= 14). Consider revising to 21 days to match NG12 — or document why we chose 14 (more conservative).
REF-032	Lalla RV, Bowen J, Barasch A et al. MASCC/ISOO clinical practice guidelines for the management of mucositis secondary to cancer therapy. Cancer 2014;120(10):1453-61.	https://acsjournals.onlinelibrary.wiley.com/doi/full/10.1002/cncr.28592	open_access_pmc	2026-05-27	2014 baseline; 2019 update exists for individual sections. 32 guidelines total (22 oral + 10 GI mucositis).
REF-033	Lodi G, Franchini R, Warnakulasuriya S et al. Interventions for treating oral leukoplakia to prevent oral cancer. Cochrane Database Syst Rev 2016;7:CD001829.	https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD001829.pub4/full	subscription_pmc_after_embargo	2026-05-27	Updates 2006 review.
