bp_id	source	nhsa_seq	nhsa_name_cn	service_output_cn	billing_unit_cn	surcharges	extensions	billing_notes_cn	confidence	pricing_note
NHSA-口腔类-26	NHSA-#1-口腔类立项指南-2025-03-03	口腔类-26	牙髓活力测验费	通过设备检查评估牙髓活力状态。	次				高	实际价格由省级医保局制定
NHSA-口腔类-27	NHSA-#1-口腔类立项指南-2025-03-03	口腔类-27	橡皮障隔离费	通过专用的橡皮障套装隔开接受治疗的牙齿与口腔。	次				高	实际价格由省级医保局制定
NHSA-口腔类-28	NHSA-#1-口腔类立项指南-2025-03-03	口腔类-28	牙体开髓引流费	对于牙髓急症患者仅行开髓引流、牙髓摘除以缓解急性疼痛。	牙	01儿童加收		仅限于牙髓急症患者应急处置时收费，在其他牙髓治疗中作为相关项目的价格构成，不单独收费。	高	实际价格由省级医保局制定
NHSA-口腔类-31	NHSA-#1-口腔类立项指南-2025-03-03	口腔类-31	根管预备费	通过清理扩大根管，清除感染坏死牙髓组织，对根管内部进行清理成形。	根管	01儿童加收|11根管异常		本项目所称'根管异常'指：中重度弯曲根管、C 型根管、根管间交通枝等特殊根管。	高	实际价格由省级医保局制定
NHSA-口腔类-32	NHSA-#1-口腔类立项指南-2025-03-03	口腔类-32	根管冲洗费	对根管进行冲洗消毒及感染控制。	根管	01根管封药费			高	实际价格由省级医保局制定
NHSA-口腔类-33	NHSA-#1-口腔类立项指南-2025-03-03	口腔类-33	根管充填费	通过向根管内充填，封闭根管系统。	根管	01儿童加收|11根管异常	01乳牙根管充填费	本项目所称'根管异常'指：中重度弯曲根管、C 型根管、根管间交通枝等特殊根管。	高	实际价格由省级医保局制定
NHSA-口腔类-34	NHSA-#1-口腔类立项指南-2025-03-03	口腔类-34	根管再治疗费	针对牙髓治疗后出现的问题进行的治疗。	根管				高	实际价格由省级医保局制定
NHSA-口腔类-36	NHSA-#1-口腔类立项指南-2025-03-03	口腔类-36	根尖诱导成形费	诱导牙根继续发育或根尖封闭。	根管				低-外推	实际价格由省级医保局制定
NHSA-口腔类-38	NHSA-#1-口腔类立项指南-2025-03-03	口腔类-38	根尖手术费	通过手术对根尖进行治疗。	根管	01复杂根尖手术		本项目所称'复杂根尖手术'指：根尖周病损累及邻近重要组织结构、骨壁完整根尖定位困难的情况。	高	实际价格由省级医保局制定
NHSA-口腔类-39	NHSA-#1-口腔类立项指南-2025-03-03	口腔类-39	活髓保存治疗费	通过处理暴露牙髓清除感染，保存正常牙髓。	牙	01间接盖髓减收			高	实际价格由省级医保局制定
NHSA-口腔类-41	NHSA-#1-口腔类立项指南-2025-03-03	口腔类-41	牙体缺损直接粘接修复费	通过使用填充材料修复牙体缺损。	牙	11牙体大面积缺损加收|12暂封减收|13银汞合金充填减收		本项目所称'牙体大面积缺损'指：累及 2 个及以上牙面的情况。	高	实际价格由省级医保局制定
NHSA-口腔类-42	NHSA-#1-口腔类立项指南-2025-03-03	口腔类-42	前牙形态修复费	对牙齿美观区域进行形态、颜色、功能的修复。	牙	01舌侧面形态辅助修复			高	实际价格由省级医保局制定
NHSA-口腔类-43	NHSA-#1-口腔类立项指南-2025-03-03	口腔类-43	窝沟封闭费	封闭牙齿窝沟。	牙				高	实际价格由省级医保局制定
NHSA-口腔类-44	NHSA-#1-口腔类立项指南-2025-03-03	口腔类-44	氟防龋治疗费	通过涂布氟化物预防龋齿。	牙				高	实际价格由省级医保局制定。注：SDF（氟化银）属于氟化物，本项目可能涵盖；需向地方医保局确认。
NHSA-口腔类-45	NHSA-#1-口腔类立项指南-2025-03-03	口腔类-45	牙脱敏治疗费	通过各种方式处理牙面降低牙敏感症状。	牙				高	实际价格由省级医保局制定
NHSA-口腔类-48	NHSA-#1-口腔类立项指南-2025-03-03	口腔类-48	预成冠修复费	针对大面积牙体缺损进行预成冠修复。	牙				高	实际价格由省级医保局制定。注：Hall 技术使用的乳磨牙预成金属冠属于本项目范畴。
NHSA-口腔类-49	NHSA-#1-口腔类立项指南-2025-03-03	口腔类-49	牙拔除费	通过手术拔除牙齿。	牙	01复杂牙拔除		本项目所称'复杂牙拔除'指：正常位牙齿因解剖变异、死髓或牙体治疗后其脆性增加、局部慢性炎症刺激使牙槽骨发生致密性改变、牙骨间骨性结合的情况。	高	实际价格由省级医保局制定
NHSA-口腔类-50	NHSA-#1-口腔类立项指南-2025-03-03	口腔类-50	阻生牙拔除费	通过手术拔除各类萌出智齿或高位阻生牙齿。	牙	01复杂阻生牙拔除	01多生牙拔除费	本项目所称'复杂阻生牙拔除'指：被牙根覆盖的各类阻生牙、完全埋藏颌骨内的各类阻生牙及多生牙的情况。	高	实际价格由省级医保局制定
NHSA-口腔类-68	NHSA-#1-口腔类立项指南-2025-03-03	口腔类-68	脓肿切开引流费（口内）	切开口内浅表脓肿引流。	次				高	实际价格由省级医保局制定
NHSA-口腔类-69	NHSA-#1-口腔类立项指南-2025-03-03	口腔类-69	脓肿切开引流费（颌面部）	切开颌面部浅表脓肿引流。	次			不包含口腔颌面颈部间隙感染。	高	实际价格由省级医保局制定
NHSA-口腔类-76	NHSA-#1-口腔类立项指南-2025-03-03	口腔类-76	修复体固定修复费	通过固定修复体完成牙体缺损或牙列缺损修复。	牙位	01即刻修复|11复杂修复体固定修复		本项目所称'复杂修复体固定修复'指：II 度及以上深覆牙合、中重度异色牙、固定修复牙位 4 颗及以上、牙槽骨重度吸收、伴颞下颌关节病、冠短的情况。	高	实际价格由省级医保局制定
NHSA-口腔类-77	NHSA-#1-口腔类立项指南-2025-03-03	口腔类-77	桩核修复费	通过桩核修复牙体缺损。	根管	01一体化纤维桩核			高	实际价格由省级医保局制定
NHSA-口腔类-88	NHSA-#1-口腔类立项指南-2025-03-03	口腔类-88	全口牙周系统检查费	通过设备对牙周进行系统检查，并完成系统表记录。	次				高	实际价格由省级医保局制定
NHSA-口腔类-89	NHSA-#1-口腔类立项指南-2025-03-03	口腔类-89	牙周探诊费	通过牙周专用刻度探针进行牙周袋深度的测量和判定并记录。	次			不与'全口牙周系统检查费'同时收取。	高	实际价格由省级医保局制定
NHSA-口腔类-91	NHSA-#1-口腔类立项指南-2025-03-03	口腔类-91	牙周冲洗上药费	对牙周袋或智齿盲袋内部进行冲洗、置药。	牙	01口腔局部止血费			低-外推	实际价格由省级医保局制定
NHSA-口腔类-93	NHSA-#1-口腔类立项指南-2025-03-03	口腔类-93	龈上洁治费	通过各种方式清除牙龈缘以上的菌斑、牙石及其他沉积物。	牙	01种植牙洁治		同一治疗部位不与'牙周冲洗上药费'同时收取。	低-插值	实际价格由省级医保局制定
NHSA-口腔类-96	NHSA-#1-口腔类立项指南-2025-03-03	口腔类-96	龈下刮治费	通过各种方式去除龈下牙石、菌斑。	牙	01种植体下刮治			高	实际价格由省级医保局制定
NHSA-口腔类-97	NHSA-#1-口腔类立项指南-2025-03-03	口腔类-97	根面平整费	通过各种方式去除根面感染病变的牙骨质。	牙				高	实际价格由省级医保局制定
NHSA-口腔类-100	NHSA-#1-口腔类立项指南-2025-03-03	口腔类-100	牙周翻瓣费	通过手术翻开牙龈瓣，进行清创。	牙	01复杂牙周翻瓣		本项目所称'复杂牙周翻瓣'指：根向或冠向复位切口、远中楔形切除、根分叉病变的情况。	高	实际价格由省级医保局制定
NHSA-口腔类-114	NHSA-#1-口腔类立项指南-2025-03-03	口腔类-114	口腔黏膜病局部药物治疗费	通过各种方式对口腔黏膜局部病损进行治疗。	病灶				高	实际价格由省级医保局制定
