ref_id	citation	url	access	verified_date	notes
REF-003	American Association of Endodontists (AAE). Glossary of Endodontic Terms, 10th ed. 2020.	https://www.aae.org/specialty/clinical-resources/glossary-endodontic-terms/	free_landing_page_pdf_member_login	2026-05-27	Landing page lists current 10th edition (updated March 2020). PDF requires AAE login.
REF-004	AAE. Endodontic Diagnosis. Position Statement, 2013. (Colleagues for Excellence, Fall 2013).	https://www.aae.org/specialty/wp-content/uploads/sites/2/2023/12/Fall2013-EndoDiagnosis.pdf	free_pdf	2026-05-27	AAE's Colleagues for Excellence Fall 2013 issue on endodontic diagnosis. Source of the 30-second lingering pain rule, vitality response criteria, and pulpal/periapical dx framework.
REF-005	European Society of Endodontology (ESE). Quality guidelines for endodontic treatment. Int Endod J 2006;39:921-30.		not_yet_verified		
REF-006	Bjørndal L et al. Treatment of deep caries lesions in adults. Int Endod J 2019.		not_yet_verified		
REF-007	Schwendicke F et al. Managing carious lesions: Consensus recommendations on carious tissue removal. Adv Dent Res 2016;28(2):58-67.		not_yet_verified		
REF-008	Hargreaves KM, Berman LH (eds). Cohen's Pathways of the Pulp, 12th ed. Elsevier, 2021.	https://shop.elsevier.com/books/cohens-pathways-of-the-pulp/berman/978-0-323-67303-7	paid_purchase_or_library	2026-05-27	Definitive endodontics textbook. Diagnostic criteria for irreversible pulpitis in 'Diagnosis' chapter. Library/institutional access via ScienceDirect.
REF-010	AAE. Treatment Standards. White Paper, 2018.	https://www.aae.org/specialty/wp-content/uploads/sites/2/2018/04/TreatmentStandards_WhitePaper_v1.pdf	free_pdf	2026-05-27	AAE Treatment Standards covering difficulty assessment, access, instrumentation, disinfection, obturation, retreatment, and restoration.
REF-014	Ruggiero SL et al. AAOMS Position Paper on Medication-Related Osteonecrosis of the Jaw — 2022 Update.		not_yet_verified		
REF-015	Wahl MJ et al. Dental surgery and anticoagulation: a literature review. Endod Topics 2014.		not_yet_verified		
REF-016	Lyons A, Ghazali N. Osteoradionecrosis of the jaws: current understanding of its pathophysiology and treatment. Br J Oral Maxillofac Surg 2008;46(8):653-60.		not_yet_verified		
REF-021	EFCD-ESE-ORCA. S3-level clinical practice guideline on the management of deep carious lesions and vital pulp treatment. Int Endod J 2025.		not_yet_verified		
REF-009	ADA Council on Scientific Affairs. Professionally applied topical fluoride: evidence-based clinical recommendations. JADA 2006;137:1151-9.		not_yet_verified		
REF-019	Bayne SC et al. Status of restorative materials in dentistry. JADA 2019;150(11):909-921.		not_yet_verified		
REF-025	Innes NP et al. The Hall Technique 10 years on: questions and answers. Br Dent J 2017;222(6):478-483.		not_yet_verified		
REF-026	Featherstone JDB. The continuum of dental caries — evidence for a dynamic disease process. J Dent Res 2004;83(spec iss C):C39-C42.		not_yet_verified		
REF-027	Slayton RL et al. Evidence-based clinical practice guideline on nonrestorative treatments for carious lesions. JADA 2018;149(10):837-849.		not_yet_verified		
REF-011	Tonetti MS, Greenwell H, Kornman KS. Staging and grading of periodontitis: Framework and proposal of a new classification and case definition. J Periodontol 2018;89(Suppl 1):S159-S172.		not_yet_verified		
REF-012	Chapple ILC et al. Plaque-induced gingival conditions. J Periodontol 2018;89(Suppl 1):S74-S84.		not_yet_verified		
REF-013	孟焕新主编. 牙周病学. 第4版. 人民卫生出版社. 2012.		not_yet_verified		
REF-022	Sanz M et al. EFP S3-level Clinical Practice Guideline: Treatment of Stage I–III Periodontitis. J Clin Periodontol 2020;47(Suppl 22):4–60.		not_yet_verified		
REF-023	Lockhart PB et al. ADA Evidence-Based Clinical Practice Guideline on Antibiotic Use for Urgent Dental Conditions. JADA 2019;150(11):906-921.		not_yet_verified		
REF-028	Cairo F et al. The interproximal clinical attachment level to classify gingival recessions and predict root coverage outcomes. J Clin Periodontol 2011;38(7):661-666.		not_yet_verified		
REF-029	Lang NP, Lindhe J (eds). Clinical Periodontology and Implant Dentistry, 6th ed. Wiley-Blackwell, 2015.		not_yet_verified		
REF-030	Warnakulasuriya S et al. Oral potentially malignant disorders: a consensus report from an international seminar on nomenclature and classification. Oral Diseases 2021;27(8):1862-1880.		not_yet_verified		
REF-031	NHS / NICE referral guidelines for suspected oral cancer (2-week-wait pathway). NG12: Suspected cancer: recognition and referral.		not_yet_verified		
REF-032	Lalla RV et al. MASCC/ISOO clinical practice guidelines for the management of mucositis secondary to cancer therapy. Cancer 2014;120(10):1453-61.		not_yet_verified		
REF-033	Lodi G et al. Interventions for treating oral leukoplakia to prevent oral cancer. Cochrane Database Syst Rev 2016;7:CD001829.		not_yet_verified		
REF-034	WHO Collaborating Centre. Oral Submucous Fibrosis — current concepts in etiopathogenesis and clinical management. Oral Oncology 2020;106:104726.		not_yet_verified		
