rf_id	name_en	name_cn	applies_to_dxs	trigger	action_en	action_cn	references
RF-V2-001	MRONJ risk — bisphosphonate patient needing extraction	MRONJ风险——双膦酸盐患者需拔牙	DX-K04.01|DX-K04.1|DX-K04.4|DX-K04.5|DX-K04.6|DX-K04.7	systemic_risk_factors=bisphosphonate AND tooth_restorability=non_restorable	Mandatory OMFS specialist referral before any extraction. Individualised ONJ risk assessment based on route (IV >> oral), duration, indication, comorbidities; do NOT prescribe a fixed drug holiday (AAOMS 2022).	拔牙前强制口腔颌面外科会诊。根据给药途径（静脉>>口服）、年限、适应证、伴随用药进行个体化ONJ风险评估；不得自行设定固定停药期（AAOMS 2022）。	REF-014
RF-V2-002	ORN risk — head/neck radiation patient needing extraction in irradiated field	ORN风险——头颈部放疗患者放疗野内拔牙	DX-K04.01|DX-K04.1|DX-K04.4|DX-K04.5|DX-K04.6|DX-K04.7	systemic_risk_factors=head_neck_radiation AND tooth_restorability=non_restorable	Mandatory specialist referral before extraction in irradiated jaw. May require hyperbaric oxygen pre/post. Never extract without ORN risk plan.	放疗野内拔牙前强制专科转诊。可能需要术前/术后高压氧治疗。无ORN处理方案禁止拔牙。	REF-016
RF-V2-003	Spreading odontogenic infection — airway threat	扩散性牙源性感染——气道威胁	DX-K04.7	swelling_spread in [floor_of_mouth, submandibular, periorbital] OR airway_compromise=yes OR trismus=severe	EMERGENCY — immediate hospital referral for IV antibiotics, airway management, and surgical drainage. Ludwig's angina is fatal without prompt treatment.	急诊——立即转诊住院进行静脉抗生素、气道管理和外科引流。Ludwig咽峡炎不及时治疗可致死。	REF-008
RF-V2-004	Anticoagulant patient — coordination required	抗凝患者——需协调	DX-K04.01|DX-K04.1|DX-K04.4|DX-K04.5|DX-K04.6|DX-K04.7	systemic_risk_factors=anticoagulant	Coordinate with prescribing physician. Check INR before any invasive procedure (target <3.5 for extraction). Do not stop anticoagulants without physician approval — use local haemostatic measures.	与处方医师协调。任何有创操作前检查INR（拔牙目标<3.5）。未经医师批准不得停药——采用局部止血措施。	REF-015
RF-V2-005	Uncontrolled diabetes — defer non-emergency SRP/surgery until glycaemic optimisation	糖尿病未控制——优化血糖前推迟非急诊SRP/手术	DX-K05.30|DX-K05.31|DX-K05.20	systemic_modifiers=diabetes_uncontrolled OR hba1c>=9	HbA1c >9% significantly impairs SRP outcomes and increases infection risk. Coordinate with the patient's physician for glycaemic optimisation BEFORE elective periodontal therapy. Emergency drainage of abscess proceeds with antibiotic cover and tight blood-glucose monitoring.	HbA1c>9%显著降低SRP疗效并增加感染风险。择期牙周治疗前与内分泌科医师协作优化血糖。急性脓肿引流可在抗生素覆盖和密切血糖监测下进行。	REF-011|REF-022
RF-V2-006	Immunosuppressed patient with periodontal infection — markedly elevated risk	免疫抑制患者伴牙周感染——风险显著升高	DX-K05.10|DX-K05.11|DX-K05.20|DX-K05.30|DX-K05.31	systemic_modifiers=immunosuppressed OR systemic_risk_factors=immunosuppressed_chemo	Immunosuppression (chemotherapy, transplant, biologics, HIV) markedly elevates risk from periodontal infection. Coordinate with the patient's physician before any invasive periodontal procedure; safe windows depend on the underlying condition.	免疫抑制（化疗、移植、生物制剂、HIV）显著增加牙周感染风险。任何有创牙周操作前与主治医师协调；安全窗口取决于基础疾病。	REF-012|REF-013
RF-V2-008	CAUTION (14–20 days non-healing) — observe + remove irritants; escalate to URGENT at 21 days	谨慎观察 (14–20 天不愈合) — 去除刺激源 + 观察；21 天起升级为紧急转诊	DX-K12.0|DX-K13.0|DX-K13.21|DX-K13.5|DX-K13.71|DX-K13.72	lesion_duration_days>=14 AND lesion_duration_days<21 AND lesion_resolves_with_irritant_removal=no	Lesion has been present 14–20 days without resolution after removing irritants (sharp teeth, ill-fitting dentures, etc.). At this stage NICE NG12 does not yet mandate referral, but close observation is warranted. Schedule a 1-week review; if the lesion is still present at 21 days, RF-V2-011 (urgent 2WW) fires.	病变持续 14–20 天未愈合（已去除明显刺激源）。该阶段 NICE NG12 尚未强制转诊，但需密切观察。约 1 周复诊；若 21 天仍未愈合，触发 RF-V2-011（紧急 2-week-wait 转诊）。	REF-030|REF-031
RF-V2-011	URGENT (≥21 days non-healing) — 2-week-wait biopsy referral per NICE NG12	紧急 (≥3 周不愈合) — NICE NG12 2-week-wait 活检转诊	DX-K12.0|DX-K13.0|DX-K13.21|DX-K13.5|DX-K13.71|DX-K13.72	lesion_duration_days>=21 AND lesion_resolves_with_irritant_removal=no	Lesion present ≥21 days without resolution after irritant removal meets NICE NG12 criterion for URGENT 2-week-wait referral pathway. Mandatory biopsy referral. Do not watch-and-wait further. This rule applies regardless of the initial provisional diagnosis — including patients initially thought to have benign RAS, cheilitis, or OLP.	病变持续 ≥21 天未愈合（已去除刺激源），符合 NICE NG12 紧急 2-week-wait 转诊标准。强制活检转诊，禁止继续观察等待。该原则不论初步诊断为何均适用——包括初诊认为是良性的RAS、唇炎、OLP 等情况。	REF-030|REF-031
RF-V2-009	Indurated / fixed / non-tender lesion — high suspicion for malignancy	硬结/固定/无压痛病变——高度怀疑恶性	DX-K12.0|DX-K13.0|DX-K13.21|DX-K13.5|DX-K13.71|DX-K13.72	induration=yes	Induration (palpable firmness extending beyond visible margins), fixation to underlying tissues, or paradoxical lack of tenderness in an ulcerated lesion are high-risk features. URGENT 2-week-wait referral regardless of size or duration.	硬结（超出可见边界的可触及硬度）、与深部组织粘连、溃疡病变反常无压痛均为高危特征。无论大小或持续时间，紧急2周快速转诊。	REF-030|REF-031
RF-V2-010	Severe oral mucositis (WHO Grade 3–4) — oncology coordination + nutritional support	重度口腔黏膜炎（WHO 3–4级）——肿瘤科协作+营养支持	DX-K12.3	mucositis_severity in [WHO_grade_3, WHO_grade_4]	Grade 3 (cannot eat solid food) / Grade 4 (cannot drink fluids) mucositis is a treatment emergency. Coordinate with oncology team for chemotherapy dose modification, systemic analgesia, and nutritional support pathway.	3级（不能进固食）/4级（不能饮水）黏膜炎为治疗紧急情况。与肿瘤科协作调整化疗剂量、全身止痛、营养支持路径。	REF-032
