fdi	tooth_type	tooth_position	quadrant	name_cn	name_en	clinical_alerts
11	permanent	anterior	UR	右上中切牙	Upper right central incisor	[]
12	permanent	anterior	UR	右上侧切牙	Upper right lateral incisor	[]
13	permanent	anterior	UR	右上尖牙	Upper right canine	[]
14	permanent	premolar	UR	右上第一前磨牙	Upper right first premolar	[]
15	permanent	premolar	UR	右上第二前磨牙	Upper right second premolar	[]
16	permanent	molar	UR	右上第一磨牙	Upper right first molar	[{'type': 'anatomical_variant', 'severity': 'common', 'alert_cn': 'MB2 第四根管出现率约 60% — 开髓后请仔细探查近中颊舌侧，必要时显微镜下定位', 'alert_en': 'MB2 (second mesiobuccal) canal present in ~60% — examine carefully under magnification', 'billing_implication_cn': '若发现 MB2 → 触发 11根管异常 加收'}]
17	permanent	molar	UR	右上第二磨牙	Upper right second molar	[{'type': 'anatomical_variant', 'severity': 'common', 'alert_cn': 'MB2 第四根管出现率约 60% — 开髓后请仔细探查近中颊舌侧，必要时显微镜下定位', 'alert_en': 'MB2 (second mesiobuccal) canal present in ~60% — examine carefully under magnification', 'billing_implication_cn': '若发现 MB2 → 触发 11根管异常 加收'}]
18	permanent	molar	UR	右上第三磨牙 (智齿)	Upper right third molar (wisdom)	[{'type': 'anatomical_variant', 'severity': 'variable', 'alert_cn': '智齿根管形态高度变异 — 术前 CBCT 评估推荐；常合并阻生', 'alert_en': 'Wisdom tooth canal morphology highly variable — pre-op CBCT advised; often impacted'}]
21	permanent	anterior	UL	左上中切牙	Upper left central incisor	[]
22	permanent	anterior	UL	左上侧切牙	Upper left lateral incisor	[]
23	permanent	anterior	UL	左上尖牙	Upper left canine	[]
24	permanent	premolar	UL	左上第一前磨牙	Upper left first premolar	[]
25	permanent	premolar	UL	左上第二前磨牙	Upper left second premolar	[]
26	permanent	molar	UL	左上第一磨牙	Upper left first molar	[{'type': 'anatomical_variant', 'severity': 'common', 'alert_cn': 'MB2 第四根管出现率约 60% — 开髓后请仔细探查近中颊舌侧，必要时显微镜下定位', 'alert_en': 'MB2 (second mesiobuccal) canal present in ~60% — examine carefully under magnification', 'billing_implication_cn': '若发现 MB2 → 触发 11根管异常 加收'}]
27	permanent	molar	UL	左上第二磨牙	Upper left second molar	[{'type': 'anatomical_variant', 'severity': 'common', 'alert_cn': 'MB2 第四根管出现率约 60% — 开髓后请仔细探查近中颊舌侧，必要时显微镜下定位', 'alert_en': 'MB2 (second mesiobuccal) canal present in ~60% — examine carefully under magnification', 'billing_implication_cn': '若发现 MB2 → 触发 11根管异常 加收'}]
28	permanent	molar	UL	左上第三磨牙 (智齿)	Upper left third molar (wisdom)	[{'type': 'anatomical_variant', 'severity': 'variable', 'alert_cn': '智齿根管形态高度变异 — 术前 CBCT 评估推荐；常合并阻生', 'alert_en': 'Wisdom tooth canal morphology highly variable — pre-op CBCT advised; often impacted'}]
31	permanent	anterior	LL	左下中切牙	Lower left central incisor	[{'type': 'anatomical_variant', 'severity': 'variable', 'alert_cn': '下颌切牙约 20% 有 2 根管（颊舌型）— 探查时注意', 'alert_en': 'Lower incisors have 2 canals in ~20% — examine for buccolingual configuration'}]
