tx_id	dx_id	name_en	name_cn	class	gates	post_treatment	rationale_en	rationale_cn	references
TX-K04.00-001	DX-K04.00	Remove caries + indirect pulp cap with hydraulic calcium silicate cement (MTA/Biodentine); definitive restoration in same visit	去龋 + 间接盖髓 (MTA/Biodentine) + 同期最终修复	first_line	remaining_dentin_thickness in [adequate(>=1mm), >=1mm_visible_barrier]|tooth_restorability=restorable	TX-K04.00-002	Reversible inflammation resolves once stimulus (caries) is removed. MTA/Biodentine preserves pulp vitality; Ca(OH)₂ is an alternative but not first-line.	去除刺激源（龋）后炎症可恢复。MTA/Biodentine保留牙髓活力；氢氧化钙为替代方案。	REF-008|REF-021
TX-K04.00-002	DX-K04.00	Follow-up vitality testing at 6 + 12 months	6/12月活力测试随访	first_line			Confirm pulp recovery; if vitality declines or pain returns, re-diagnose (likely K04.01).	确认牙髓恢复；若活力下降或疼痛复发，需重新诊断（可能为K04.01）。	REF-008
TX-K04.01-001	DX-K04.01	Root canal treatment (full RCT) → composite core or post + crown within 3 months	完整根管治疗 → 3月内树脂核或桩冠修复	first_line	tooth_type=permanent|tooth_restorability=restorable		Definitive treatment for irreversible pulpitis preserving the natural tooth. Crown protects against fracture (REF-005, REF-008).	不可复性牙髓炎的根本治疗，保留天然牙。冠修复防止牙折。	REF-003|REF-005|REF-008|REF-010
TX-K04.01-002	DX-K04.01	Full or partial pulpotomy with MTA/Biodentine (vital pulp therapy, selected cases)	完全或部分冠髓切断 (MTA/Biodentine)	alternative	tooth_type=permanent|tooth_restorability=restorable|young_apex=yes OR vpt_eligible=yes		VPT can preserve vital tissue in selected irreversible pulpitis cases (young apex, controlled bleeding). EFCD-ESE-ORCA S3 2025 supports as alternative to RCT.	选择性病例（年轻根尖、止血可控）可保留活髓。EFCD-ESE-ORCA S3 2025支持作为RCT替代方案。	REF-021
TX-K04.01-003	DX-K04.01	Pulpectomy with resorbable paste (primary tooth)	乳牙根管治疗 (可吸收糊剂)	first_line	tooth_type=primary|root_resorption=less_than_2_thirds|tooth_restorability=restorable		Primary tooth with >2/3 root remaining: pulpectomy preserves space until natural exfoliation.	乳牙剩余牙根>2/3：根管治疗保留间隙至自然脱落。	REF-008
TX-K04.01-004	DX-K04.01	Extraction + prosthetic planning	拔牙 + 修复方案	salvage	tooth_restorability=non_restorable|systemic_risk_factors!=bisphosphonate|systemic_risk_factors!=head_neck_radiation		Non-restorable tooth: RCT is futile; extract and plan replacement.	不可修复牙：RCT无意义，拔除后规划修复。	REF-008|REF-010
TX-K04.02-001	DX-K04.02	Emergency pulpotomy (relief of pressure) → complete RCT at follow-up	急诊冠髓切断减压 → 复诊完成RCT	first_line	tooth_type=permanent|tooth_restorability=restorable		Immediate drainage relieves pain; full RCT completes treatment.	立即引流缓解疼痛；后续完成完整RCT。	REF-003|REF-008
TX-K04.03-001	DX-K04.03	Root canal treatment + crown	根管治疗 + 冠修复	first_line	tooth_type=permanent|tooth_restorability=restorable		Chronic pulpitis (incl. pulp polyp) is irreversible; RCT is definitive.	慢性牙髓炎（含牙髓息肉）不可复，RCT为根本治疗。	REF-008
TX-K04.1-001	DX-K04.1	Root canal treatment → core + crown	根管治疗 → 核冠修复	first_line	tooth_type=permanent|tooth_restorability=restorable		Non-vital tooth without periapical changes: standard RCT.	无根尖病变的死髓牙：常规RCT。	REF-003|REF-005|REF-008
TX-K04.1-002	DX-K04.1	Apexification (MTA/Biodentine apical plug) → orthograde obturation	根尖诱导成形术 (MTA/Biodentine根尖屏障) → 顺行充填	first_line	tooth_type=permanent|open_apex=yes|tooth_restorability=restorable		Necrotic immature permanent tooth: apexification creates an apical barrier before obturation.	未成熟恒牙坏死：根尖诱导成形术建立根尖屏障后再充填。	REF-008
